poi_id,name,type,city,source_image_url
74,丽丽宿的民宿(北京西站/丽泽商务区二店),酒店,北京,http://p0.meituan.net/tdchoteldark/580d8f423df25acb5cf035a547ecbe1b2710423.jpg%40300w_1e_1l%7Cwatermark%3D0
75,汉庭(北京展览馆阜外医院店),酒店,北京,http://p1.meituan.net/tdchoteldark/9834210d81a39152db7686635ddaaa5c168136.jpg%40300w_1e_1l%7Cwatermark%3D0
76,速8酒店(北京西直门店),酒店,北京,http://p1.meituan.net/tdchoteldark/900d9e83d0ac747e119ba4e1bc864b292752724.jpg%40300w_1e_1l%7Cwatermark%3D0
77,鸿益宾馆(粮食店街),酒店,北京,http://p0.meituan.net/poipicadd/9a4d65998a064c30615986f457299f76220681.jpg%40300w_1e_1l%7Cwatermark%3D0
78,海友酒店(北京牛街地铁站店),酒店,北京,http://p0.meituan.net/tdchoteldark/118219b9eeeade4a95a0002bc8539c7e3261526.jpg%40300w_1e_1l%7Cwatermark%3D0
79,聚缘酒店(北京长椿街地铁站店),酒店,北京,http://p0.meituan.net/tdchoteldark/2359124b8d2d75971e92a18fbb19248a676176.png%40300w_1e_1l%7Cwatermark%3D0
80,由缘酒店(北京牛街地铁站店),酒店,北京,http://p1.meituan.net/tdchoteldark/c09f22b0c9af1156a31b59f23feae6ee245653.jpg%40300w_1e_1l%7Cwatermark%3D0
81,中国华侨历史博物馆,景点/周边游,北京,http://p0.meituan.net/travel/2bf0f2d2e535d4a5d932351b28eb2f8a264341.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
82,仓南胡同,景点/周边游,北京,http://p0.meituan.net/hotel/95b154afdb2fc39ce22229f2f1d14650566219.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
83,通教寺,景点/周边游,北京,http://p1.meituan.net/hoteltdc/014e32e62e101422ce7885e2e1e06d671440352.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
84,景山公园-镇山阁,景点/周边游,北京,http://p1.meituan.net/travel/1b9dacabfeedba731fb41640488f749d53763.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
85,尚韵轩博物馆,景点/周边游,北京,https://qcloud.dpfile.com/pc/xuQfwMkXtF8gZH1Wx7iEDArw-FCWebFPLZsjWXt81gRuPZT6T-DqHOMf7cEoDnZGd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
86,赤点云缘,景点/周边游,北京,http://p0.meituan.net/poipicadd/d7405f91d612d0c03f7a53ffeb0114a0926233.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
87,怀远堂,景点/周边游,北京,http://p1.meituan.net/travel/3fd1340bffaae42aa745a0d068122f1067570.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
88,国子监-井亭,景点/周边游,北京,http://p1.meituan.net/travel/aa0cbda8508e69e11c600bed95c939f0108513.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
89,天元时尚生活艺术馆,景点/周边游,北京,http://qcloud.dpfile.com/pc/H-8La4TxMfUnVOs-Poy-nMxlaNzeHJPS4CX9socE0lnmayvyv4GZ72RQk8_8XCPX.jpg
90,南药王庙,景点/周边游,北京,https://qcloud.dpfile.com/pc/LtB6k03eTfcXQh-KDVYWMs8OZNxW9788JltAaoSkO-kJss484GeC-uwoKU3svis-d5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
91,东雁翅楼,景点/周边游,北京,https://p0.meituan.net/ugcpic/4604a4bd57d2ab6fc8b9bc2d2a071f12%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
92,东护城河绿道,景点/周边游,北京,http://p0.meituan.net/hoteltdc/25ff8e7f7070b60e3c347204c7be320c1438647.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
93,天坛公园-具服台,景点/周边游,北京,http://p0.meituan.net/travel/89bed3053bda18f84f16d65e18ed497533336.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
94,国子监-崇志堂,景点/周边游,北京,http://p0.meituan.net/travel/694092aaf42adfcdf57b3177f8fcad0382770.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
95,澄清下闸遗址,景点/周边游,北京,https://p0.meituan.net/ugcpic/97978c45c9a1e589856d58c2299d7525%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
96,金帆水上运动俱乐部,景点/周边游,北京,http://p0.meituan.net/hoteltdc/84e5a5ca2bdbfb64d9bf1a9bd7b6f6951350171.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
97,正观美术馆,景点/周边游,北京,http://p0.meituan.net/shaitu/ccd1f9e1dfe8b10a08873377e154c129174204.jpg%40300w_1e_1l%7Cwatermark%3D0
98,下沉广场,景点/周边游,北京,http://p0.meituan.net/poipicadd/29a01e0becbcb2309d2565f65928b171833207.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
99,群众艺术馆,景点/周边游,北京,http://p1.meituan.net/travel/40c101da79b1a0b9459fa4c3032bc21b43828.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
100,什刹海,景点/周边游,北京,http://p1.meituan.net/travel/5c92bb818023512df32436fa2df5abf01275940.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
101,宣武艺园-丁香书院,景点/周边游,北京,http://p0.meituan.net/hotel/9e4d850465cd7fe6c4c949111207d335550520.png%40340w_255h_1e_1c_1l%7Cwatermark%3D0
102,大观园-省亲牌坊,景点/周边游,北京,http://p1.meituan.net/searchscenerec/feae322dfa076b5b6e98d9e332bd458b251224.png%40300w_1e_1l%7Cwatermark%3D0
103,北京紫砂艺术馆,景点/周边游,北京,http://p1.meituan.net/hotel/dafcc93c90aee6330758c9c503c0025c893136.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
104,烂缦胡同,景点/周边游,北京,http://p0.meituan.net/hoteltdc/9346ea4e8888261008a3ba06f31bd93f1133871.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
105,宣武艺园,景点/周边游,北京,https://p0.meituan.net/ugcpic/2a12aa8f250fa60c034dc2f2633065f9%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
106,浑仪,景点/周边游,北京,https://p0.meituan.net/ugcpic/0516cfa581d3c7ed6c28b920a82a70e9%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
107,恭王府-蓺蔬圃,景点/周边游,北京,http://p1.meituan.net/travel/dc5051f92db9e566c076e8e2c251dd56229687.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
108,石埭会馆,景点/周边游,北京,https://qcloud.dpfile.com/pc/mkhsA-Qgg2ZWG0ORBTa3dj2FBQYjIKOwqkbvX2SJDNPChLLd2xH9HfqaUw41LpAhd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
109,交通银行旧址,景点/周边游,北京,http://p1.meituan.net/hoteltdc/e15e6ce09bc24859ef42b6def9f7af19448857.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
110,琼华岛,景点/周边游,北京,http://p0.meituan.net/poipicadd/22c60623d1342bfbc5ae3deca597e8ac588581.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
