poi_id,name,tpye,city,source_image_url
86,深圳旅游观光巴士服务站,景点/周边游,深圳,http://p0.meituan.net/tdctraveldark/a9bf496840219cb0a7d5d3ccaf43530b313829.jpg%40300w_1e_1l%7Cwatermark%3D0
87,科罗拉多峡谷漂流,景点/周边游,深圳,http://p0.meituan.net/hotel/58114b8f3a9ba9b01c6e8c98a439011a468015.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
88,大沙河生态长廊儿童乐园,景点/周边游,深圳,https://p0.meituan.net/ugcpic/38a2324e1fd3d76cc28be82c9d3c5383%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
89,文天祥纪念公园,景点/周边游,深圳,http://p1.meituan.net/hoteltdc/f5eaa98e2fe4a62ecdd0ae4b37a829571074920.jpg%40300w_1e_1l%7Cwatermark%3D0
90,深圳湾星盛游艇出海俱乐部,景点/周边游,深圳,https://p0.meituan.net/tdctraveldark/ad97a6e16c95fc82b7c374c846b314ef212248.jpg%401035w_585h_1e_1c_1l_80q%7Cwatermark%3D0
91,荔枝园,景点/周边游,深圳,http://p0.meituan.net/poipicadd/9798fca05f34a3e9473cc81733d0fe90363668.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
92,灯塔纪念台地,景点/周边游,深圳,http://p0.meituan.net/hoteltdc/f8e747ba73737bc3429b8d6de5fae154196425.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
93,非洲猴园,景点/周边游,深圳,https://qcloud.dpfile.com/pc/RpbKiQ5T3c33vbttMYAfYe6o4a4xL1RnZRk4aWqDk0Df8V4tJl5zXTJogRFQfddEd5VyLhA3eh9bnfuMRhvrVlEuLYk00OmSS1IdNpm8K8sG4JN9RIm2mTKcbLtc2o2vfCF2ubeXzk49OsGrXt_KYDCngOyCwZK-s3fqawWswzk.jpg
94,南门一坊美食观光夜市,景点/周边游,深圳,http://p0.meituan.net/poipicadd/ae4cbd255b7d8328f2b5a9b22842eeaf1274614.jpg%40340w_255h_1e_1c_1l%7Cwatermark%3D0
95,ANIF动漫创意同人展,景点/周边游,深圳,http://p0.meituan.net/hotel/a2db3e60d90ca781cc52a963a27a9132796678.png%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
96,中山公园,景点/周边游,深圳,http://p0.meituan.net/travel/b704298c62aaaa624f431a867dba19e081401.jpg%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
97,西丽生态公园,景点/周边游,深圳,https://p0.meituan.net/ugcpic/d9f1533480389092a189b8e61f39ebd2%40300w_225h_1e_1c_1l%7Cwatermark%3D1%26%26r%3D1%26p%3D9%26x%3D2%26y%3D2%26relative%3D1%26o%3D20
98,揽波轩,景点/周边游,深圳,http://qcloud.dpfile.com/pc/1qXTNZ46i91OUybPidBYuog5F_XvuDl1X7q1ukFT7HEE6GwR889-eGUMyMSWxJjibKcq9vnEaGy3xLEf-_v_oA.jpg
